playerId,player,team,bye,exp,age,position,dataScrapeId,dstBlk,dstFumlRec,dstInt,dstPtsAllow,dstRetTd,dstSack,dstSafety,dstTd,fg,fg0019,fg2029,fg3039,fg4049,fg50,fgAtt,fgMiss,fumbles,games,idpAst,idpFumlForce,idpFumlRec,idpInt,idpPD,idpSack,idpSolo,idpTFL,idpTd,pass300,pass350,pass40,pass400,passAtt,passComp,passCompPct,passInc,passInt,passTds,passYds,rec,rec100,rec150,rec200,rec40,recTds,recYds,returnTds,returnYds,rush100,rush150,rush200,rush40,rushAtt,rushTds,rushYds,sacks,twoPts,xp,fpts,vab,price
252,Chad Henne,KC,0.0,12.0,35.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.01,11.09249271,7.326749271,0.0,0.0,0.0,0.465233236,78.08309038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.503498542,0.0,3.029665072,0.0,0.0,0.0,5.2872230664,0.0,0
310,Matt Ryan,ATL,0.0,12.0,35.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97466468,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.2,0.0,0.5,623.7361662,414.8911986,0.0,0.0,13.141412,28.23359556,4550.829067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46081081,1.196062802,134.537343,53.6,0.0,0.0,337.097897992,0.0,0
382,Joe Flacco,NYJ,0.0,12.0,35.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.656929955,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.7,0.0,0.3,125.6917422,77.05328798,0.0,0.0,2.7856387,3.875434618,796.0226757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.467120181,0.0,8.78313253,34.6,0.0,0.0,51.607084988000004,0.0,0
1581,DeSean Jackson,PHI,0.0,12.0,34.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51266766,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.10897767,1.0,0.3,0.1,0.0,4.31976973,692.9790419,0.0,0.0,0.0,0.0,0.0,0.0,3.838894545,0.358065595,22.33002182,0.0,0.0,0.0,142.168893012,0.0,0
2649,Danny Amendola,DET,0.0,12.0,35.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51266766,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.21377203,1.2,0.4,0.2,0.0,2.236379223,626.5028946,0.0,0.0,0.0,0.0,0.0,0.0,0.250181818,0.0,0.0,0.0,0.0,0.0,132.744333848,0.0,0
71265,Jared Cook,NO,0.0,11.0,33.0,TE,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28360752,1.5,0.5,0.2,0.0,6.810186586,685.9130711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.736034146,2.946775833999993,1
79607,LeSean McCoy,TB,0.0,11.0,32.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.341132638,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57373678,0.0,0.0,0.0,0.0,0.3188469,128.753535,0.0,0.0,0.7,0.2,0.09,0.0,70.18958872,2.534508814,268.5579952,0.0,0.0,0.0,69.40162617,0.0,0
79860,Matthew Stafford,DET,0.0,11.0,32.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.463934426,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.1,0.0,0.5,567.3718659,369.9038308,0.0,0.0,12.06639435,27.03739788,4302.753142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.50848414,0.554528986,75.88027778,45.5,0.0,0.0,313.98229866599996,0.0,0
81284,Chase Daniel,DET,0.0,11.0,34.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2298105,5.336721504,0.0,0.0,0.202115159,0.202115159,64.81609871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036903643,0.0,5.355636364,0.5,0.0,0.0,4.5430136978,0.0,0
81294,Brian Hoyer,NE,0.0,11.0,35.0,QB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.944964753,10.85755102,0.0,0.0,0.509448224,0.75888133,162.1413454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474603175,0.0,3.700803213,0.0,0.0,0.0,11.4196041293,0.0,0
